institution_id,location_id,enrollment,admission_rate,tuition_in_state,tuition_out_state,median_earnings_10yr,median_earnings_6yr,graduation_rate,median_debt,grad_median_debt,pct_pell_grant,pct_federal_loan,retention_rate,pct_female,pct_first_gen,poverty_rate,unemp_rate,pct_white,pct_black,pct_hispanic,pct_asian
231059,46,1092.0,0.8451,51450.0,51450.0,61317.0,46898.0,0.7277,21500.0,26922.0,0.2368,0.5756,0.7994,0.6151515152,0.1171875,4.76000022888183,2.67000007629394,93.7099990844726,2.09999990463256,2.26999998092651,1.72000002861022
231095,46,50.0,0.6667,40760.0,40760.0,30573.0,27109.0,0.3158,13625.0,23000.0,0.4487,0.3718,0.8571,0.6542056075,,6.13999986648559,2.97000002861022,91.8199996948242,1.87000000476837,3.06999993324279,2.98000001907348
231165,46,3590.0,0.8167,11952.0,22296.0,50331.0,41340.0,0.4722,11000.0,15000.0,0.3413,0.5801,0.6783,0.538807649,0.3808948005,6.05000019073486,2.82999992370605,96.6699981689453,0.68000000715255,1.07000005245208,0.77999997138977
231174,46,11743.0,0.653,19058.0,45502.0,62472.0,48164.0,0.7859,17500.0,20951.0,0.1315,0.3743,0.8918,0.6014972646,0.1151121606,5.40999984741211,2.78999996185302,91.5299987792968,2.98000001907348,3.57999992370605,2.28999996185302
231411,47,415.0,0.5354,14568.0,14568.0,46342.0,41870.0,0.7862,12000.0,14873.0,0.374,0.3687,,0.0347394541,0.4173913043,7.84999990463257,2.97000002861022,68.4100036621093,25.4799995422363,3.32999992370605,2.32999992370605
231420,47,1231.0,0.5659,38550.0,38550.0,51516.0,46273.0,0.4814,16750.0,25000.0,0.411,0.6331,0.6525,0.5265760198,0.3755102041,8.4399995803833,3.13000011444091,70.0999984741211,25.329999923706,3.83999991416931,1.49000000953674
231536,47,2730.0,,5646.0,12084.0,42644.0,37349.0,0.4037,6500.0,10409.0,0.3163,0.0455,,0.6043165468,0.4760900141,6.78999996185302,2.74000000953674,90.3199996948242,6.07999992370605,3.22000002861023,1.00999999046325
231554,47,614.0,0.5931,26770.0,26770.0,48896.0,41923.0,0.1778,13000.0,21855.0,0.5136,0.7088,0.6149,0.5660091047,0.4250411862,8.44999980926513,2.96000003814697,81.9700012207031,14.8000001907348,1.95000004768371,1.10000002384185
231581,47,1400.0,0.9172,16090.0,16090.0,53453.0,45620.0,0.5305,17500.0,26000.0,0.2983,0.6032,0.7529,0.5239043825,0.320212766,5.80999994277954,2.38000011444091,86.5299987792968,9.11999988555908,3.11999988555908,1.66999995708465
231624,47,7055.0,0.3407,25914.0,51038.0,73490.0,62959.0,0.8942,15500.0,18500.0,0.1245,0.2169,0.9456,0.6071726439,0.1316695353,4.80000019073486,2.60999989509582,78.4100036621093,13.329999923706,4.75,4.21999979019165
231651,47,4729.0,0.3812,21650.0,21650.0,44498.0,42066.0,0.5692,11000.0,24534.0,0.5115,0.5662,0.7458,0.653869969,0.4198855508,7.78999996185302,3.32999992370605,68.1600036621093,23.2900009155273,5.65000009536743,3.27999997138977
231697,47,2249.0,,5157.0,11595.0,36627.0,31969.0,0.4458,5500.0,8625.0,0.3639,0.0314,,0.5649081209,0.4324142569,9.57999992370605,3.04999995231628,75.0100021362304,22.3099994659423,1.30999994277954,0.77999997138977
231712,47,4365.0,0.8604,16828.0,31178.0,60509.0,51931.0,0.7164,19500.0,25000.0,0.1613,0.3669,0.8124,0.5952380952,0.181010929,4.90999984741211,2.34999990463256,75.1500015258789,17.0300006866455,4.03000020980835,3.82999992370605
